datos_cliente.domicilio.pais,datos_cliente.domicilio.provincia,datos_cliente.domicilio.localidad,0
Argentina,Alabama,West Bruceview,2
Argentina,Alaska,Christinaview,2
Argentina,Alaska,Miguelshire,1
Argentina,Alaska,North Richardport,1
Argentina,Alaska,South Samuelshire,1
Argentina,Arkansas,Gregorymouth,1
Argentina,Arkansas,Lake Thomasberg,1
Argentina,Arkansas,Stephenburgh,1
Argentina,Buenos Aires,La Plata,1
Argentina,Buenos Aires,Mar del Plata,11
Argentina,California,Port Raymond,1
Argentina,Catamarca,San Fernando del Valle,1
Argentina,Colorado,Josephville,1
Argentina,Connecticut,Jamesbury,1
Argentina,Córdoba,Córdoba,1
Argentina,Florida,Vegamouth,1
Argentina,Formosa,Formosa,1
Argentina,Hawaii,Juliemouth,1
Argentina,Hawaii,New Summer,1
Argentina,Hawaii,Port Kathryn,1
Argentina,Hawaii,South Williamstad,1
Argentina,Illinois,Port Alexburgh,1
Argentina,Illinois,Rachelhaven,1
Argentina,Iowa,Port James,1
Argentina,Kentucky,Allisonborough,1
Argentina,Kentucky,North Jose,1
Argentina,Louisiana,North Kellymouth,1
Argentina,Louisiana,Whitechester,1
Argentina,Massachusetts,Greenshire,1
Argentina,Massachusetts,North Tylermouth,1
Argentina,Mendoza,Godoy Cruz,1
Argentina,Minnesota,Port Manuelfurt,1
Argentina,Misiones,Posadas,17
Argentina,Mississippi,New Leslie,1
Argentina,Mississippi,North Mary,1
Argentina,Mississippi,Ritterbury,1
Argentina,Missouri,Bellview,1
Argentina,Montana,Port Kenneth,1
Argentina,Nebraska,Lewistown,1
Argentina,Neuquén,San Martín de los Andes,4
Argentina,Nevada,Port Jonathanbury,1
Argentina,Nevada,Quinnhaven,1
Argentina,Nevada,South Stevenmouth,1
Argentina,New Hampshire,North Johnathan,1
Argentina,New Hampshire,South Madison,1
Argentina,New Hampshire,Williamsborough,1
Argentina,New Mexico,South Bradley,1
Argentina,Oklahoma,Rosehaven,1
Argentina,Oregon,New Williamport,1
Argentina,Oregon,Port Robert,1
Argentina,Pennsylvania,Rebeccabury,1
Argentina,Rhode Island,Lake Daniel,1
Argentina,San Juan,San Juan,6
Argentina,Santa Fe,Rosario,17
Argentina,South Carolina,West Christina,1
Argentina,Tennessee,West Christophertown,1
Argentina,Texas,Daviston,1
Argentina,Texas,East Davidstad,1
Argentina,Texas,Williamton,1
Argentina,Vermont,Port Michael,1
Argentina,Vermont,West Todd,1
Argentina,Virginia,Cisnerosburgh,1
Argentina,Virginia,Watsonland,1
Argentina,Washington,Robertoville,1
Argentina,West Virginia,East Elizabeth,1
Argentina,Wisconsin,West Michellechester,1
Argentina,Wisconsin,Youngburgh,1
Argentina,Wyoming,East Brianshire,1
Argentina,Wyoming,Halltown,1
Argentina,Wyoming,Lake Susan,1
